iter	Logloss	Accuracy
0	0.6553199476	0.8883482261
1	0.6231649432	0.892727592	02	0.5935773053	0.893037243	03	0.5687583472	0.893435374	04	0.5438189581	0.895735645	05	0.5210098416	0.895514466	06	0.5028771565	0.895470227	07	0.4835570159	0.89485098	0.8	0.4628768763	0.8950279	0.49	0.4486132498	0.8948510	0.410	0.4359172043	0.894811	0.4111	0.4209853877	0.89412	0.39612	0.4074085227	0.8913	0.383613	0.3941006958	0.814	0.3715014	0.3874648146	0.15	0.3595815	0.3766344985	0.16	0.3496016	0.3656413277	17	0.3417851017	0.355480963718	0.33452167118	0.34901740019	0.328319476619	0.3409884820	0.320887292	020	0.33222421	0.3144024291	0.21	0.3245922	0.3085814607	0.822	0.319323	0.3019010408	0.8923	0.31524	0.2969405802	0.89724	0.3125	0.2910156164	0.897325	0.326	0.2883334806	0.8972326	0.27	0.2837807953	0.8971927	0.28	0.2802559913	0.89732328	029	0.2761687462	0.897500529	30	0.2731871679	0.897500553031	0.2697317074	0.897544791332	0.2669704648	0.897456315
33	0.2644879333	0.897721743
34	0.2619222966	0.897677505
35	0.2593294471	0.898164123
36	0.257131449	0.898252599
37	0.2560639623	0.898252599
38	0.2539084134	0.898296837
39	0.2519861202	0.898385313
40	0.24985968	0.898650741
41	0.2477084672	0.898694979
42	0.2461028351	0.898916169
43	0.2448471232	0.898871931
44	0.243484146	0.898871931
45	0.2424928878	0.899181597
46	0.240641548	0.899181597
47	0.2390731432	0.899314311
48	0.2381088468	0.899137359
49	0.237354494	0.899314311
50	0.2362800284	0.899491263
51	0.2351529044	0.899756691
52	0.2342371456	0.899977881
53	0.2331743356	0.900110595
54	0.2324532022	0.900022119
55	0.231253943	0.899977881
56	0.2302480382	0.900376023
57	0.2296779852	0.900287547
58	0.2289704847	0.900331785
59	0.2284201914	0.900420261
60	0.2276349797	0.900597213
61	0.2268774152	0.900906879
62	0.2263215598	0.900995355
63	0.2255088247	0.901083831
64	0.2248902214	0.901039593
65	0.2243248427	0.901172307
66	0.2237464712	0.900995355
67	0.223309134	0.901128069
68	0.2227890815	0.901481973
69	0.2224676808	0.901658925
70	0.2219796891	0.901658925
71	0.2213610476	0.901703163
72	0.220797638	0.901924353
73	0.2205738008	0.902101305
74	0.2203415939	0.902278257
75	0.2199721838	0.902366733
76	0.2196353088	0.902587923
77	0.2190484633	0.902720637
78	0.2188482159	0.902853351
79	0.2183804214	0.902986065
80	0.2180143905	0.903030303
81	0.2174503194	0.903295731
82	0.2170725094	0.903339969
83	0.2168135024	0.903295731
84	0.2165327089	0.903384207
85	0.2162930638	0.903472683
86	0.2160138463	0.903738111
87	0.2156578874	0.903870825
88	0.2153186753	0.903826587
89	0.2149958126	0.904092015
90	0.2147209598	0.904136253
91	0.2144394996	0.904136253
92	0.2141976769	0.904622871
93	0.2139982558	0.904401681
94	0.2137982752	0.904534395
95	0.2134544276	0.904667109
96	0.2131371474	0.904711347
97	0.2129210794	0.904622871
98	0.2125626527	0.904932537
99	0.2124522504	0.904799823
100	0.2121610689	0.904844061
101	0.2118916722	0.9050652511
102	0.2116774949	0.904932537
103	0.2115484236	0.904844061
104	0.2114391932	0.904799823
105	0.2111786994	0.904888299
106	0.2109958119	0.9050652511
107	0.2107670681	0.9050210131
108	0.2106508253	0.9051537271
109	0.2104928418	0.9051094891
