iter	Passed	Remaining
0	99	98922
1	172	85971
2	238	79296
3	303	75495
4	357	71096
5	414	68746
6	468	66399
7	518	64233
8	567	62532
9	612	60615
10	659	59310
11	706	58167
12	751	57029
13	796	56075
14	837	55020
15	889	54707
16	934	54059
17	975	53198
18	1039	53691
19	1094	53625
20	1134	52883
21	1182	52545
22	1222	51924
23	1268	51578
24	1311	51143
25	1359	50941
26	1405	50666
27	1460	50704
28	1510	50571
29	1558	50391
30	1608	50280
31	1658	50169
32	1708	50052
33	1755	49888
34	1806	49799
35	1853	49644
36	1907	49652
37	1943	49209
38	1994	49149
39	2091	50188
40	2143	50135
41	2195	50079
42	2251	50110
43	2301	50002
44	2348	49845
45	2401	49812
46	2454	49764
47	2497	49532
48	2540	49313
49	2590	49227
50	2636	49054
51	2686	48970
52	2737	48910
53	2785	48789
54	2829	48613
55	2875	48478
56	2925	48398
57	2974	48317
58	3023	48223
59	3077	48221
60	3125	48114
61	3176	48050
62	3225	47973
63	3276	47918
64	3327	47864
65	3378	47806
66	3427	47728
67	3478	47675
68	3526	47585
69	3579	47560
70	3630	47497
71	3679	47422
72	3730	47375
73	3781	47316
74	3832	47272
75	3881	47196
76	3929	47097
77	3978	47032
78	4028	46969
79	4090	47035
80	4143	47009
81	4195	46972
82	4249	46947
83	4297	46866
84	4345	46778
85	4398	46749
86	4447	46677
87	4491	46543
88	4542	46498
89	4596	46471
90	4645	46407
91	4697	46360
92	4747	46297
93	4799	46257
94	4850	46205
95	4900	46147
96	4950	46090
97	5001	46037
98	5049	45958
99	5108	45978
100	5159	45920
101	5208	45858
102	5261	45818
103	5310	45755
104	5361	45701
105	5418	45700
106	5469	45646
107	5520	45594
108	5574	45570
109	5626	45525
110	5678	45476
111	5729	45425
112	5782	45387
113	5834	45344
114	5884	45288
115	5936	45240
116	5982	45151
117	6034	45107
118	6102	45177
119	6198	45457
120	6253	45425
121	6307	45391
122	6359	45343
123	6413	45310
124	6463	45243
125	6513	45180
126	6562	45110
127	6610	45036
128	6663	44989
129	6711	44918
130	6763	44864
131	6814	44812
132	6866	44759
133	6918	44710
134	6965	44630
135	7009	44533
136	7055	44444
137	7116	44454
138	7163	44373
139	7216	44327
140	7268	44281
141	7321	44236
142	7374	44195
143	7429	44163
144	7478	44100
145	7528	44035
146	7578	43976
147	7629	43921
148	7680	43867
149	7733	43825
150	7776	43726
151	7828	43672
152	7876	43605
153	7927	43547
154	7976	43483
155	8022	43402
156	8071	43340
157	8135	43355
158	8182	43278
159	8234	43232
160	8279	43148
161	8331	43099
162	8380	43036
163	8431	42981
164	8484	42937
165	8535	42885
166	8582	42812
167	8631	42746
168	8681	42688
169	8737	42657
170	8787	42601
171	8844	42574
172	8898	42536
173	8949	42483
174	9003	42444
175	9059	42416
176	9113	42373
177	9184	42414
178	9245	42406
179	9304	42389
180	9371	42406
181	9437	42416
182	9497	42400
183	9553	42366
184	9605	42317
185	9656	42258
186	9707	42203
187	9756	42139
188	9808	42087
189	9870	42079
190	9943	42116
191	10017	42158
192	10068	42100
193	10118	42037
194	10177	42014
195	10226	41951
196	10278	41898
197	10328	41836
198	10377	41772
199	10432	41729
200	10484	41678
201	10535	41621
202	10584	41554
203	10632	41489
204	10686	41441
205	10733	41369
206	10779	41295
207	10833	41251
208	10880	41180
209	10934	41133
210	10986	41080
211	11034	41016
212	11083	40950
213	11134	40896
214	11203	40904
215	11241	40802
216	11297	40765
217	11364	40766
218	11423	40737
219	11466	40653
220	11518	40600
221	11567	40538
222	11620	40487
223	11670	40431
224	11723	40381
225	11774	40324
226	11823	40261
227	11872	40198
228	11919	40129
229	11969	40071
230	12018	40009
231	12068	39949
232	12120	39898
233	12162	39815
234	12227	39803
235	12277	39744
236	12326	39684
237	12376	39624
238	12429	39575
239	12468	39484
240	12518	39425
241	12567	39363
242	12618	39308
243	12670	39258
244	12730	39230
245	12781	39176
246	12828	39109
247	12875	39043
248	12926	38988
249	12976	38930
250	13035	38898
251	13088	38850
252	13137	38790
253	13185	38726
254	13260	38741
255	13311	38685
256	13365	38640
257	13425	38610
258	13471	38541
259	13520	38480
260	13567	38414
261	13617	38357
262	13657	38272
263	13708	38217
264	13758	38159
265	13811	38110
266	13851	38026
267	13902	37973
268	13953	37918
269	14005	37867
270	14060	37823
271	14137	37839
272	14199	37813
273	14279	37834
274	14330	37780
275	14381	37726
276	14433	37673
277	14486	37622
278	14537	37568
279	14586	37508
280	14638	37454
281	14680	37377
282	14729	37318
283	14778	37257
284	14855	37269
285	14955	37337
286	15035	37352
287	15097	37323
288	15150	37273
289	15199	37212
290	15245	37144
291	15320	37146
292	15378	37106
293	15436	37067
294	15493	37027
295	15539	36958
296	15597	36919
297	15647	36861
298	15703	36815
299	15752	36754
300	15809	36714
301	15869	36678
302	15927	36638
303	15989	36607
304	16049	36572
305	16111	36540
306	16173	36508
307	16229	36464
308	16292	36434
309	16358	36411
310	16415	36367
311	16469	36316
312	16533	36289
313	16614	36298
314	16701	36318
315	16764	36287
316	16816	36233
317	16879	36199
318	16926	36134
319	16976	36075
320	17034	36033
321	17084	35973
322	17131	35907
323	17181	35846
