iter	Logloss	Accuracy
0	0.6052960197	0.8924737525
1	0.5457025687	0.8918544296
2	0.4893909515	0.8951869765
3	0.4370766046	0.8949805356
4	0.4005969435	0.8938303645
5	0.3710645498	0.8948625693
6	0.3479133498	0.8952459597
7	0.3267689853	0.8952754512
8	0.3119662383	0.8955408753
9	0.3033779983	0.8955408753
10	0.2935388349	0.8958062994
11	0.2818867016	0.8958652825
12	0.2733268127	0.8958652825
13	0.2662371124	0.8961601982
14	0.2597637511	0.8967795211
15	0.2552907084	0.8970154536
16	0.2519978634	0.8970449451
17	0.2488030239	0.8970154536
18	0.2439794694	0.8971334198
19	0.2403545141	0.8975757933
20	0.2374039886	0.8977822343
21	0.2352245872	0.8978412174
22	0.2336829631	0.8981066415
23	0.2309665047	0.8981951162
24	0.2285982889	0.8980476584
25	0.2269536875	0.8982540993
26	0.2253610055	0.8984605403
27	0.2237553232	0.8987259644
28	0.2227215707	0.8988439306
29	0.2211774159	0.8992863041
30	0.2202440375	0.8995222366
31	0.2191639002	0.8997286776
32	0.2186626116	0.9000530848
33	0.2178447576	0.9002890173
34	0.217137259	0.9005249499
35	0.2165669663	0.9009673233
36	0.2160504103	0.9011442727
37	0.215137104	0.9011737643
38	0.2146642193	0.9015571547
39	0.2141240062	0.9019700366
40	0.2134204295	0.9025008847
41	0.2131185951	0.9027368173
42	0.212725077	0.9028842751
43	0.2119340126	0.9031791908
44	0.2117328825	0.9035625811
45	0.2114620978	0.9032676654
46	0.2108781584	0.9034151233
47	0.2105860508	0.9037395305
48	0.2101006457	0.9038574968
49	0.2098556856	0.9041524124
50	0.2095033539	0.9042703787
51	0.2089352652	0.9042703787
52	0.2084741613	0.9045652943
53	0.2079001165	0.9047717353
54	0.2073819207	0.9053025835
55	0.2071459385	0.9052730919
56	0.2069507899	0.905538516
57	0.2067879397	0.9056564822
58	0.2066051757	0.9057449569
59	0.2063118045	0.9058924148
60	0.2060212295	0.9061283473
61	0.2056232496	0.9063347883
62	0.2051274317	0.9061873304
63	0.2048791914	0.9063052967
64	0.2047479447	0.9065707208
65	0.2045389069	0.9064232629
66	0.2044374934	0.9064822461
67	0.2043253656	0.9067771617
68	0.204121387	0.9068361449
69	0.2040220412	0.9067476702
70	0.203708333	0.9067771617
71	0.2035090168	0.9069836027
72	0.2033413181	0.9071605521
73	0.2032309037	0.9071900436
74	0.2030165804	0.9071310605
75	0.2028920297	0.9073375015
76	0.2024194085	0.9075144509
77	0.202273824	0.9076029256
78	0.2021032179	0.907779875
79	0.201880735	0.9081337737
80	0.2018258877	0.9081042822
81	0.2014751499	0.9078683497
82	0.2011250303	0.907779875
83	0.2008406014	0.9078388581
84	0.2006463873	0.9081042822
85	0.2004250658	0.9082812316
86	0.2003139105	0.9081632653
87	0.2001909165	0.9081337737
88	0.2000113739	0.9081927569
89	0.1999404147	0.9082222484
90	0.1999349433	0.9081927569
91	0.1997707537	0.9083402147
92	0.1997696388	0.9083991978
93	0.1997683784	0.9084286894
94	0.1995486483	0.908458181
95	0.1993767722	0.9086056388
96	0.1992630369	0.9086941135
97	0.1990255817	0.9090480123
98	0.1989256683	0.9091069954
99	0.1988767031	0.9091659785
100	0.1987180403	0.9091069954
101	0.1985458869	0.9091659785
102	0.1983880527	0.9092249617
103	0.1982736556	0.9093724195
104	0.197942862	0.9092544532
105	0.1978859001	0.9094903857
106	0.1976908121	0.9100802171
107	0.1975819213	0.9101686918
108	0.1974354524	0.9100507255
109	0.1972897872	0.9100507255
110	0.1971909828	0.9100802171
111	0.1967777899	0.9103456411
112	0.1967592136	0.9103161496
113	0.1967063806	0.9103456411
114	0.1966041327	0.9103161496
115	0.1965649655	0.9104046243
116	0.1962905354	0.9105815737
117	0.1961349066	0.9107585231
118	0.1961320596	0.9107880146
119	0.1957866368	0.9109354725
120	0.1956884284	0.9108764893
121	0.195304311	0.9109059809
122	0.1950982666	0.9108764893
123	0.194788584	0.9110239472
124	0.1946356211	0.911171405
125	0.1945739051	0.9113483544
126	0.1944276851	0.9114073375
127	0.194296852	0.9114073375
128	0.194232562	0.9114368291
129	0.1941747324	0.9115842869
130	0.1940102391	0.9117907279
131	0.1937584205	0.9119381857
132	0.19363736	0.9119381857
133	0.1934315834	0.9120561519
134	0.1930995026	0.9122625929
135	0.1927797323	0.9127934411
136	0.1926252376	0.9127344579
137	0.1925649423	0.9128524242
138	0.1922763081	0.9130293736
139	0.1921877626	0.9128229326
140	0.1920011594	0.9130588652
141	0.1919413186	0.9130883567
142	0.1916763746	0.9132947977
143	0.1916339419	0.9132653061
144	0.1915351323	0.9131473399
145	0.1913050605	0.9131178483
146	0.1912797713	0.9129114073
147	0.1912678879	0.9129114073
148	0.1911803093	0.9130588652
149	0.1911576221	0.9130293736
150	0.1910895644	0.9131473399
151	0.1910803361	0.9131178483
152	0.1909369107	0.913206323
153	0.1909100618	0.9132947977
154	0.1908638714	0.9132653061
155	0.1907448602	0.9133242893
156	0.1906383028	0.9137076796
157	0.1906142052	0.9137076796
158	0.190438939	0.9136486965
159	0.1901729992	0.913884629
160	0.1901279779	0.9139436121
161	0.1900462426	0.9141500531
162	0.1898458934	0.9142090362
163	0.1897566375	0.9141205615
164	0.1896253601	0.9145334434
165	0.1896129552	0.9145334434
166	0.189474065	0.914356494
167	0.1893719071	0.9145334434
168	0.1892983245	0.9145334434
169	0.1891118323	0.9145924266
170	0.1890296838	0.9145924266
171	0.1890166924	0.9146219181
172	0.1889730397	0.9147988675
173	0.188853873	0.9148578507
174	0.188739217	0.9149168338
175	0.188614274	0.9150937832
176	0.1885396456	0.915241241
177	0.188478801	0.9153002241
178	0.1884690353	0.9153297157
179	0.1882335499	0.9155656482
180	0.1881799081	0.9157425976
181	0.1881713219	0.9157425976
182	0.1880793095	0.9154771735
183	0.1878206046	0.9153886988
184	0.187720645	0.9158310723
185	0.1877112382	0.9158605639
186	0.1876300383	0.9158900554
187	0.1874124765	0.9160080217
188	0.1873406328	0.9160080217
189	0.1871604724	0.9164209036
190	0.1869585743	0.9163619205
191	0.186785278	0.9165683614
192	0.1866573315	0.9166273446
193	0.1865856038	0.9168337855
194	0.1865649067	0.916804294
195	0.1864886023	0.9170107349
196	0.1863211905	0.9171581928
197	0.1862970812	0.9172171759
198	0.1860992217	0.9173351421
199	0.1860144896	0.9174531084
200	0.1858485211	0.9173351421
201	0.1858002378	0.9173941253
202	0.1857874341	0.9173941253
203	0.1857394682	0.9174236168
204	0.1856711508	0.9174236168
205	0.1856472178	0.9174236168
206	0.185621826	0.9175120915
207	0.1856039854	0.9176005662
