iter	Passed	Remaining
0	81	81646
1	102	51307
2	123	41178
3	150	37457
4	170	33896
5	193	32104
6	220	31220
7	243	30188
8	266	29326
9	281	27894
10	312	28087
11	341	28128
12	359	27313
13	377	26572
14	389	25597
15	406	25012
16	420	24336
17	434	23695
18	449	23183
19	460	22586
20	477	22250
21	489	21751
22	504	21410
23	519	21109
24	535	20881
25	551	20657
26	564	20325
27	579	20116
28	592	19827
29	605	19589
30	623	19475
31	638	19314
32	654	19168
33	674	19159
34	708	19547
35	729	19526
36	752	19596
37	773	19575
38	789	19448
39	803	19277
40	818	19146
41	833	19013
42	847	18863
43	863	18762
44	878	18634
45	894	18560
46	913	18523
47	929	18429
48	943	18312
49	962	18278
50	979	18230
51	998	18199
52	1013	18105
53	1029	18026
54	1045	17966
55	1062	17915
56	1084	17936
57	1099	17858
58	1114	17779
59	1130	17715
60	1151	17730
61	1170	17708
62	1187	17658
63	1206	17641
64	1222	17578
65	1239	17535
66	1253	17452
67	1268	17388
68	1282	17309
69	1300	17279
70	1317	17243
71	1332	17171
72	1346	17097
73	1363	17066
74	1379	17011
75	1391	16912
76	1405	16847
77	1421	16803
78	1434	16726
79	1452	16705
80	1465	16629
81	1479	16561
82	1495	16527
83	1509	16458
84	1525	16424
85	1539	16364
86	1553	16306
87	1567	16243
88	1583	16210
89	1597	16150
90	1607	16052
91	1620	15990
92	1628	15884
93	1641	15824
94	1657	15793
95	1673	15763
96	1690	15736
97	1707	15717
98	1721	15671
99	1737	15636
100	1751	15589
101	1764	15533
102	1777	15479
103	1793	15454
104	1810	15433
105	1823	15377
106	1836	15329
107	1860	15365
108	1882	15391
109	1904	15409
110	1925	15424
111	1941	15391
112	1956	15355
113	1975	15351
114	1996	15368
115	2011	15330
116	2026	15291
117	2043	15274
118	2054	15207
119	2069	15179
120	2084	15144
121	2101	15125
122	2115	15085
123	2136	15090
124	2150	15052
125	2167	15035
126	2182	14999
127	2197	14968
128	2211	14929
129	2224	14888
130	2241	14867
131	2255	14830
132	2270	14801
133	2287	14782
134	2302	14754
135	2316	14718
136	2334	14705
137	2349	14675
138	2366	14659
139	2381	14628
140	2399	14620
141	2415	14593
142	2428	14555
143	2440	14510
144	2456	14481
145	2473	14468
146	2485	14421
147	2499	14389
148	2512	14348
149	2525	14310
150	2535	14257
151	2546	14207
152	2563	14189
153	2575	14147
154	2589	14119
155	2605	14098
156	2620	14068
157	2632	14027
158	2646	13999
159	2661	13973
160	2677	13953
161	2695	13945
162	2710	13916
163	2723	13880
164	2740	13866
165	2753	13832
166	2768	13809
167	2782	13778
168	2795	13747
169	2810	13724
170	2826	13703
171	2837	13657
172	2851	13630
173	2871	13631
174	2885	13605
175	2901	13586
176	2918	13571
177	2935	13556
178	2946	13515
179	2961	13492
180	2976	13468
181	2995	13465
182	3010	13438
183	3028	13429
184	3047	13424
185	3063	13408
186	3078	13385
187	3097	13378
188	3112	13354
189	3129	13343
190	3145	13322
191	3162	13310
192	3176	13283
193	3191	13258
194	3204	13230
195	3220	13211
196	3236	13192
197	3251	13168
198	3264	13140
199	3279	13117
200	3297	13106
201	3310	13080
202	3325	13054
203	3338	13025
204	3355	13011
205	3370	12990
206	3384	12964
207	3398	12941
208	3417	12935
209	3435	12925
210	3452	12908
211	3467	12887
212	3481	12863
213	3497	12844
214	3510	12817
215	3528	12806
216	3541	12780
217	3556	12759
218	3570	12731
219	3587	12718
220	3605	12709
221	3621	12691
222	3636	12671
223	3651	12648
224	3664	12621
225	3678	12598
226	3691	12570
227	3704	12541
228	3721	12529
229	3737	12512
230	3752	12493
231	3766	12469
232	3782	12452
233	3798	12433
234	3813	12413
235	3831	12404
236	3845	12381
237	3862	12366
238	3880	12356
239	3898	12343
240	3914	12329
241	3928	12305
242	3945	12289
243	3961	12275
244	3975	12252
245	4007	12282
246	4028	12282
247	4054	12294
248	4073	12284
249	4088	12264
250	4101	12240
251	4111	12204
252	4125	12180
253	4142	12166
254	4156	12143
255	4171	12123
256	4185	12100
257	4199	12078
258	4216	12063
259	4232	12046
260	4247	12026
261	4264	12012
262	4279	11991
263	4295	11975
264	4310	11954
265	4325	11934
266	4341	11920
267	4356	11898
268	4370	11877
269	4387	11861
270	4400	11838
271	4419	11828
272	4430	11798
273	4445	11778
274	4459	11757
275	4473	11735
276	4491	11723
277	4506	11704
278	4521	11685
279	4534	11660
280	4550	11642
281	4569	11634
282	4587	11622
283	4602	11603
284	4620	11591
285	4635	11572
286	4652	11557
287	4671	11548
288	4687	11532
289	4703	11515
290	4718	11495
291	4734	11478
292	4746	11453
293	4762	11436
294	4778	11420
295	4794	11402
296	4808	11381
297	4822	11359
298	4839	11345
299	4854	11327
300	4869	11308
301	4884	11290
302	4901	11275
303	4917	11259
304	4932	11240
305	4951	11229
306	4967	11212
307	4993	11219
308	5010	11204
309	5027	11189
310	5042	11170
311	5059	11157
312	5077	11144
313	5091	11122
314	5107	11106
315	5122	11087
316	5139	11073
317	5154	11055
318	5172	11041
319	5189	11027
320	5204	11009
321	5218	10988
322	5231	10964
323	5245	10944
324	5263	10931
325	5275	10906
326	5292	10891
327	5307	10873
328	5324	10859
329	5341	10844
330	5356	10825
331	5369	10804
332	5387	10791
333	5405	10777
334	5418	10756
335	5433	10738
